ImageNumber,ObjectNumber,Metadata_FileLocation,Metadata_Frame,Metadata_Series,Metadata_Site,Metadata_Site,Metadata_Well,Metadata_Well,Metadata_experiment,Metadata_fldr,Metadata_time,Metadata_time,Location_Center_X,Location_Center_Y,Number_Object_Number,Parent_ppltobj,Parent_protrusions
1,1,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1056.7826086956522,2.3913043478260869,1,1,7
1,2,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1081.5523255813953,19.796511627906977,2,1,9
1,3,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1047.7224669603524,19.004405286343612,3,1,16
1,4,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1087.0,9.8000000000000007,4,1,18
1,5,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1098.2119815668202,30.956221198156683,5,1,19
1,6,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1047.22,34.960000000000001,6,1,33
1,7,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1069.671052631579,35.460526315789473,7,1,34
1,8,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1058.972602739726,37.575342465753423,8,1,37
1,9,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1038.5666666666666,40.100000000000001,9,1,39
1,10,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1108.0588235294117,42.235294117647058,10,1,41
1,11,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1078.8064516129032,43.322580645161288,11,1,42
1,12,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1051.1176470588234,44.588235294117645,12,1,43
1,13,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1112.6230366492146,51.240837696335078,13,1,44
1,14,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1043.90625,46.28125,14,1,46
1,15,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1065.9000000000001,48.200000000000003,15,1,47
1,16,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1130.0540540540539,48.432432432432435,16,1,48
1,17,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1058.8521739130435,60.869565217391305,17,1,51
1,18,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1037.5,51.0,18,1,52
1,19,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1076.2764227642276,56.422764227642276,19,1,53
1,20,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1049.24,53.200000000000003,20,1,55
1,21,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1019.2972972972973,55.432432432432435,21,1,58
1,22,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1037.6714285714286,59.014285714285712,22,1,60
1,23,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1117.9605263157894,66.96052631578948,23,1,61
1,24,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1047.8035714285713,65.607142857142861,24,1,62
1,25,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1102.0,62.911764705882355,25,1,63
1,26,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,961.39325842696633,68.544943820224717,26,1,64
1,27,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1036.7192307692308,91.07692307692308,27,1,65
1,28,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1069.659090909091,66.909090909090907,28,1,66
1,29,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1082.3823529411766,66.235294117647058,29,1,67
1,30,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1088.9860465116278,74.390697674418604,30,1,68
1,31,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,989.17307692307691,68.442307692307693,31,1,70
1,32,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1001.3928571428571,69.464285714285708,32,1,71
1,33,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,963.73684210526312,70.15789473684211,33,1,73
1,34,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,977.4457831325301,73.843373493975903,34,1,75
1,35,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1109.0,73.0,35,1,77
1,36,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1011.8176100628931,86.635220125786162,36,1,78
1,37,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1062.5999999999999,73.549999999999997,37,1,79
1,38,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1032.050847457627,80.66101694915254,38,1,81
1,39,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1044.5319148936171,78.361702127659569,39,1,82
1,40,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,995.89361702127655,80.0,40,1,86
1,41,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1063.6704545454545,84.352272727272734,41,1,89
1,42,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1077.0612903225806,92.303225806451607,42,1,91
1,43,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1104.0833333333333,83.5,43,1,93
1,44,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1053.3333333333333,82.333333333333329,44,1,96
1,45,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1003.15,87.049999999999997,45,1,98
1,46,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,990.85714285714289,89.333333333333329,46,1,100
1,47,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1033.5,89.0,47,1,103
1,48,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1093.6111111111111,99.222222222222229,48,1,107
1,49,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1084.6315789473683,98.526315789473685,49,1,108
1,50,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1040.5999999999999,107.8,50,1,114
1,51,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1069.7218045112782,115.00751879699249,51,1,115
1,52,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1039.5,113.5,52,1,120
1,53,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1047.0625,116.03125,53,1,121
1,54,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1079.5,116.0,54,1,122
