ImageNumber,ObjectNumber,Metadata_FileLocation,Metadata_Frame,Metadata_Series,Metadata_Site,Metadata_Site,Metadata_Well,Metadata_Well,Metadata_experiment,Metadata_fldr,Metadata_time,Metadata_time,Location_Center_X,Location_Center_Y,Number_Object_Number,ObjectSkeleton_NumberBranchEnds_MaskedProtrusionsImage,ObjectSkeleton_NumberNonTrunkBranches_MaskedProtrusionsImage,ObjectSkeleton_NumberTrunks_MaskedProtrusionsImage,ObjectSkeleton_TotalObjectSkeletonLength_MaskedProtrusionsImage
1,1,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1056.0,2.0,1,0.0,0.0,1,2.0
1,2,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1082.0,19.0,2,4.0,2.0,2,56.941125988960266
1,3,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1047.0,24.0,3,6.0,7.0,1,68.4264075756073
1,4,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1087.0,9.0,4,0.0,0.0,0,0.0
1,5,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1101.0,30.0,5,13.0,13.0,2,143.26702868938446
1,6,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1046.0,34.0,6,3.0,1.0,2,11.071067929267883
1,7,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1071.0,34.0,7,2.0,0.0,2,17.313708662986755
1,8,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1062.0,37.0,8,4.0,2.0,2,21.72792249917984
1,9,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1039.0,40.0,9,2.0,0.0,3,2.0
1,10,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1108.0,42.0,10,0.0,0.0,0,0.0
1,11,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1078.0,43.0,11,3.0,0.0,3,4.8284271359443665
1,12,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1051.0,44.0,12,0.0,0.0,1,0.0
1,13,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1114.0,56.0,13,4.0,2.0,2,50.941126048564911
1,14,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1043.0,46.0,14,2.0,1.0,1,6.2426408529281616
1,15,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1066.0,49.0,15,1.0,0.0,1,5.4142136573791504
1,16,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1130.0,48.0,16,1.0,1.0,0,8.2426409125328064
1,17,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1061.0,62.0,17,3.0,1.0,2,32.627417683601379
1,18,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1037.0,51.0,18,0.0,0.0,0,0.0
1,19,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1077.0,56.0,19,5.0,3.0,2,35.041631162166595
1,20,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1049.0,53.0,20,0.0,0.0,1,0.0
1,21,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1018.0,55.0,21,0.0,0.0,0,3.4142136573791504
1,22,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1036.0,58.0,22,3.0,0.0,3,14.899495005607605
1,23,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1116.0,67.0,23,4.0,2.0,2,23.970562934875488
1,24,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1048.0,65.0,24,4.0,2.0,2,16.899495124816895
1,25,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,1101.0,63.0,25,0.0,0.0,0,0.0
1,26,nan,0,0,3,3,C5,C5,170109,nan,0006,0006,960.0,66.0,26,4.0,2.0,2,46.284271538257599
